title,author,publisher,year,pages,tags,description
경제를 아십니까,홍은주,개마고원,2020,288,"인문사회, 200~300쪽, 교양",경제학의 여러 개념을 설명한 책. 교과서 내용을 더 자세히 설명한 책
경찰관속으로,원도,이후진프레스,2019,208,"문학, 200~300쪽, 에세이","이 책을 읽고 나면 경찰을 한 인간으로 바라보게 된다. 거짓 신고, 경찰서에 와서 커피를 타 달라는 어이없는 요청에서부터 가정폭력, 살인, 자살, 성폭력에 이르는 강력사건까지 극과 극을 오가는 일들을 처리하는 경찰로서 겪는 애환을, 언니에게 보내는 편지형식으로 서술한다."
고구마와 고마워는 두 글자나 같네,김은지,걷는사람,2019,136,"문학, 200쪽 이하, 시",김은지의 두 번째 시집. 첫 번째 시집의 장점을 유지하면서도 따뜻하게 타자와 함께 하는 상황을 표현한 시가 많다.
고기로 태어나서,한승태,시대의창,2018,464,"인문사회, 300쪽 이상, 교양","한국 식용 동물 농장 열 곳에서 일하고 생활하며 자기 자신과 그곳에서 함께한 사람들 그리고 함께 한 닭, 돼지, 개들에 대한 이야기를 담았다. ""공장제 축산업이 없어지면 경제가 타격을 입잖아요.""라고 말하는 학생들에게 권할만한 책이다. 환경, 동물권에 접근하는 방식이 단순히 경제 논리에만 기반한 셈하기로 설정되지 않아야 한다는 이유를 진지하게 생각하게 된다."
고기로 태어나서,한승태,시대의창,2018,464,"인문사회, 300쪽 이상, 교양","소, 닭, 돼지, 개가 어떻게 농장에서 길러지는지 직접 그 안에 들어가 일하며 사실적으로 기록함. 읽고 나면 우리 문명, 우리 사회에 대해 생각하게 됨"
고난과 웃음의 나라,정병호,창비,2020,376,"인문사회, 300쪽 이상, 교양",문화인류학자가 북한 사회를 있는 그대로 바라본 내용을 생생하고 다채롭게 풀어내고 있다.
고두 (그 개와 같은 말),임현,문학동네,2017,,"문학, 200~300쪽, 소설",자기 변호에 급급하여 혐오감을 불러 일으키는 교사가 나오기 때문에 학생들과 읽기에는 교사의 결단이 필요함. 보기 드물게 독자에게 역겨움과 혐오의 감정을 불러일으키는 서술자. 하지만 욕하면서도 자기 자신을 돌아보게 하는 소설.
고민이 고민입니다,하지현,인플루엔셜,2019,288,"인문사회, 200~300쪽, 교양",정신과 의사의 '고민'에 관한 이야기. 고민으로 가득찬 일상생활에서 염증과 한계를 느낄 때 전문적이고 현실적인 조언을 줄 수 있는 책. 고민으로 복잡한 머릿속을 단순하게 정리해 줄 수 있는 책이다. 고민을 잘 할 수 있는 방법을 알려주기 위해 우리의 뇌과학 심리학에 대해 설명해주고 이를 바탕으로 고민 잘 하는 방법을 이야기한다. 고민을 분류하고 뇌의 효율성을 높여 고민으로 인해 생기는 스트레스를 줄이고 보다 합리적인 결정을 할 수 있는 방법을 알려주는 책.
고백 (내게 무해한사람),최은영,창비,2018,,"문학, 200~300쪽, 소설","성 정체성을 가장 친한 친구들에게 고백한 후 자살한 여학생과 남겨진 친구들의 이야기. 성소수자에 대한 얘기와 자신과 다른 사람에 대한 혐오, 관계 등을 섬세하게 다룬다."
고슴도치 아이,카타지나 코토프스카,(주)보림출판사,2021,35,"기타, 200쪽 이하, 교양","작가가 자신의 입양 경험을 바탕으로 만든 이야기. 아이를 애타게 기다리던 부부는 다른 집에 자신의 아이가 태어났음을 알고, 그 아이를 찾아간다. 그 아이는 고슴도치처럼 가시가 많은 아이였다. 실제 입양을 한 작가여서 이야기를 표현하기 위해 고른 언어가 매우 사려깊다. 이 책에 표현된 사랑은 너무 아름다워서 누구라도 감동할 것이다."
